"pt","site","latitude","longitude","occ1","occ2","occ3","occ4","obs1","obs2","obs3","obs4","ord1","ord2","ord3","ord4","dtime1","dtime2","dtime3","dtime4","mean2018","max2018","No_trees_mean","No_trees_max","No_wires_mean","No_wires_max","No_SW_mean","No_SW_max","No_SE_mean","No_SE_max","No_N_mean","No_N_max"
"KR01","K",40.53577482,-74.66251634,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,5.78333333333333,9.75,5.68333333333333,9.76666666666667,60.3223609924316,46.7974739074707,60.4015655517578,46.7974739074707,60.3927879333496,46.7974739074707,60.400203704834,46.7974739074707,60.3931694030762,46.7974739074707,60.3223609924316,46.7974739074707
"KR02","K",40.53649276,-74.6615681,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,5.9,9.6,5.8,9.63333333333333,65.6780700683594,60.6532707214355,65.7030563354492,60.6532707214355,65.6872482299805,60.6532707214355,65.7000885009766,60.6532707214355,65.6898880004883,60.6532707214355,65.6780700683594,60.6532707214355
"KR03","K",40.53721069,-74.66061983,1,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,6.01666666666667,9.46666666666667,5.93333333333333,9.5,66.617790222168,63.7521438598633,66.6578521728516,63.7578735351562,66.6173782348633,63.7521438598633,66.6181640625,63.7521438598633,66.6568069458008,63.7578735351562,66.617790222168,63.7521438598633
"KR04","K",40.53792862,-74.65967155,0,0,0,1,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,6.15,9.31666666666667,6.1,9.36666666666667,65.2233657836914,58.76318359375,65.98486328125,61.4570732116699,65.200553894043,58.76318359375,65.2011108398438,58.76318359375,65.9843063354492,61.4570732116699,65.2233657836914,58.76318359375
"KR05","K",40.53864653,-74.65872324,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,6.48333333333333,9.15,6.26666666666667,9.23333333333333,60.5469703674316,45.6147689819336,61.3207740783691,46.0975456237793,60.6414833068848,45.6147689819336,60.6427917480469,45.6147689819336,61.3135871887207,46.0975456237793,60.5469703674316,45.6147689819336
"KR06","K",40.54008794,-74.65871593,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,6.61666666666667,8.96666666666667,6.4,9.11666666666667,64.9840087890625,47.8870582580566,65.1692657470703,47.8870582580566,65.0686492919922,47.8870582580566,65.0708084106445,47.8870582580566,65.1668472290039,47.8870582580566,64.9840316772461,47.8870582580566
"KR07","K",40.53937003,-74.65966426,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,6.75,8.83333333333333,6.51666666666667,8.98333333333333,65.2806015014648,59.4926910400391,66.081787109375,60.6338043212891,65.3042221069336,59.4926910400391,65.3222808837891,59.4926910400391,66.0617980957031,60.6338043212891,65.2806015014648,59.4926910400391
"KR08","K",40.5386521,-74.66061256,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,6.91666666666667,8.68333333333333,6.66666666666667,8.83333333333333,59.3723487854004,43.4377708435059,66.1410522460938,63.8057289123535,59.3525886535645,43.4377708435059,59.3646812438965,43.4377708435059,66.1282043457031,63.8046607971191,59.3723526000977,43.4377708435059
"KR09","K",40.53793417,-74.66156085,0,0,1,1,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,7.05,8.55,6.78333333333333,8.68333333333333,67.4483032226562,65.3509368896484,67.5877532958984,66.2292404174805,67.4583206176758,65.3509368896484,67.546012878418,65.4853515625,67.5000381469727,65.912841796875,67.4483261108398,65.3509368896484
"KR10","K",40.53721622,-74.66250911,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,7.18333333333333,8.38333333333333,6.93333333333333,8.56666666666667,66.0762023925781,59.8110885620117,67.0005874633789,65.034309387207,66.0744705200195,59.8110885620117,66.9973526000977,65.034309387207,66.0776672363281,59.8110885620117,66.0762023925781,59.8110885620117
