N,E,new
4488380,528587,29.3
4488380,528588,29.3
4488380,528589,29.3
4488380,528590,29.3
4488380,528591,29.3
4488380,528592,29.3
4488380,528593,29.3
4488380,528594,29.3
4488381,528596,29.3
4488381,528597,29.3
4488381,528598,29.3
4488381,528599,29.3
4488381,528600,29.3
4488381,528601,29.3
4488381,528602,29.3
4488381,528603,29.3
4488382,528605,29.25
4488382,528606,29.25
4488382,528607,29.25
4488382,528608,29.25
4488382,528609,29.25
4488382,528610,29.25
4488382,528611,29.25
4488383,528614,29.2
4488383,528615,29.2
4488383,528616,29.2
4488383,528617,29.2
4488383,528618,29.2
4488383,528619,29.2
4488384,528623,29.25
4488384,528624,29.25
4488384,528625,29.25
4488384,528626,29.25
4488384,528627,29.25
4488385,528632,29.3
4488385,528633,29.3
4488385,528634,29.3
4488385,528635,29.3
4488385,528636,29.3
4488386,528641,29.5
4488386,528642,29.5
4488386,528643,29.5
4488387,528650,29.7
4488387,528651,29.7
4488387,528652,29.7
4488388,528660,29.65
4488388,528661,29.65
4488389,528668,29.6
4488395,528734,28
4488402,528781,24.6
4488403,528790,23.8
4488404,528799,23.7
4488405,528808,23.8
4488406,528817,23.8
4488407,528826,24.2
4488408,528835,24.5
4488411,528863,25.25
4488412,528872,25.5
4488412,528873,25.5
4488413,528881,25.6
4488413,528882,25.6
4488413,528883,25.6
4488414,528890,25.7
4488414,528891,25.7
4488414,528892,25.7
4488414,528893,25.7
4488415,528899,25.7
4488415,528900,25.7
4488415,528901,25.7
4488415,528902,25.7
4488415,528903,25.7
4488416,528909,25.8
4488416,528910,25.8
4488416,528911,25.8
4488416,528912,25.8
4488416,528913,25.8
4488416,528914,25.8
4488417,528918,25.85
4488417,528919,25.85
4488417,528920,25.85
4488417,528921,25.85
4488417,528922,25.85
4488417,528923,25.85
4488417,528924,25.85
4488418,528927,25.9
4488418,528928,25.9
4488418,528929,25.9
4488418,528930,25.9
4488418,528931,25.9
4488418,528932,25.9
4488418,528933,25.9
4488418,528934,25.9
4488419,528936,25.95
4488419,528937,25.95
4488419,528938,25.95
4488419,528939,25.95
4488419,528940,25.95
4488419,528941,25.95
4488419,528942,25.95
4488419,528943,25.95
4488419,528944,25.95
4487981,528860,32
4487982,528868,31.8
4487982,528869,31.8
4487983,528877,31.65
4487983,528878,31.65
4487983,528879,31.65
4487984,528885,31.3
4487984,528886,31.3
4487984,528887,31.3
4487984,528888,31.3
4487984,528889,31.3
4487984,528890,31.3
4487985,528894,30.95
4487985,528895,30.95
4487985,528896,30.95
4487985,528897,30.95
4487985,528898,30.95
4487986,528902,30.7
4487986,528903,30.7
4487986,528904,30.7
4487986,528905,30.7
4487986,528906,30.7
4487986,528907,30.7
4487986,528908,30.7
4487987,528911,30.5
4487987,528912,30.5
4487987,528913,30.5
4487987,528914,30.5
4487987,528915,30.5
4487987,528916,30.5
4487987,528917,30.5
4487988,528920,30.45
4487988,528921,30.45
4487988,528922,30.45
4487988,528923,30.45
4487988,528924,30.45
4487988,528925,30.45
4487988,528926,30.45
4487988,528927,30.45
4487941,528518,35
4487941,528519,35
4487941,528520,35
4487942,528526,34.9
4487942,528527,34.9
4487942,528528,34.9
4487943,528536,35
4487943,528537,35
4487943,528538,35
4487944,528544,35
4487944,528545,35
4487945,528553,35
4487945,528554,35
4487946,528562,34.95
4487947,528571,34.85
4487948,528580,34.8
